"id","BAorHigher","Variable","Value"
"01001",80.4,"Less than high school graduate",46.8
"01003",75.3,"Less than high school graduate",46.9
"01005",79.4,"Less than high school graduate",30.5
"01007",71.5,"Less than high school graduate",27.4
"01009",80.9,"Less than high school graduate",39.7
"01011",67.4,"Less than high school graduate",39.4
"01013",80,"Less than high school graduate",33.7
"01015",78.3,"Less than high school graduate",43.4
"01017",83.4,"Less than high school graduate",37.5
"01019",78.3,"Less than high school graduate",41.9
"01021",82.1,"Less than high school graduate",49.6
"01023",74.2,"Less than high school graduate",27.9
"01025",69,"Less than high school graduate",25.4
"01027",68.6,"Less than high school graduate",46.8
"01029",89.3,"Less than high school graduate",46.7
"01031",72.5,"Less than high school graduate",47.6
"01033",79.7,"Less than high school graduate",40.1
"01035",77,"Less than high school graduate",26.8
"01037",78.3,"Less than high school graduate",24.8
"01039",75.3,"Less than high school graduate",45.5
"01041",85.4,"Less than high school graduate",46.7
"01043",77.4,"Less than high school graduate",43.1
"01045",68.7,"Less than high school graduate",41.2
"01047",78.3,"Less than high school graduate",33.1
"01049",79.1,"Less than high school graduate",50.4
"01051",80,"Less than high school graduate",39.4
"01053",71.3,"Less than high school graduate",25.1
"01055",79.6,"Less than high school graduate",37.1
"01057",69.2,"Less than high school graduate",36.6
"01059",80.9,"Less than high school graduate",50.8
"01061",72.6,"Less than high school graduate",40.2
"01063",72.6,"Less than high school graduate",27.8
"01065",82.4,"Less than high school graduate",31.6
"01067",88.1,"Less than high school graduate",44.3
"01069",80.6,"Less than high school graduate",42.7
"01071",76.1,"Less than high school graduate",43
"01073",82.6,"Less than high school graduate",43.2
"01075",84,"Less than high school graduate",48.7
"01077",75.6,"Less than high school graduate",45.8
"01079",77.6,"Less than high school graduate",38.5
"01081",81.7,"Less than high school graduate",45.1
"01083",78.9,"Less than high school graduate",39.2
"01085",77,"Less than high school graduate",28.4
"01087",75.5,"Less than high school graduate",37
"01089",82.5,"Less than high school graduate",49.7
"01091",75.9,"Less than high school graduate",28.6
"01093",79.3,"Less than high school graduate",35.6
"01095",79.8,"Less than high school graduate",52.9
"01097",82.4,"Less than high school graduate",38.9
"01099",74,"Less than high school graduate",32.5
"01101",79.6,"Less than high school graduate",41.3
"01103",81.2,"Less than high school graduate",50.3
"01105",78.6,"Less than high school graduate",26.4
"01107",70.1,"Less than high school graduate",30.7
"01109",76.3,"Less than high school graduate",42.6
"01111",69,"Less than high school graduate",46.4
"01113",74.9,"Less than high school graduate",43
"01115",82.2,"Less than high school graduate",38.6
"01117",82.6,"Less than high school graduate",58.9
"01119",75.6,"Less than high school graduate",24.5
"01121",78.4,"Less than high school graduate",36.4
"01123",75.3,"Less than high school graduate",47.8
"01125",81.7,"Less than high school graduate",38.4
